date,spx_tr,tsy_3m,margin_rate,cpi
1952-12-15,2.999276848,0.03,0.034,26.7000
1952-12-16,3.002732096,0.03,0.034,26.7000
1952-12-17,2.999276848,0.03,0.034,26.7000
1952-12-18,2.998125026,0.03,0.034,26.7000
1952-12-19,3.011946455,0.03,0.034,26.7000
1952-12-22,3.029223351,0.03,0.034,26.7000
1952-12-23,3.016553744,0.03,0.034,26.7000
1952-12-24,3.018857169,0.03,0.034,26.7000
1952-12-26,3.023464459,0.03,0.034,26.7000
1952-12-29,3.040741354,0.03,0.034,26.7000
1952-12-30,3.06262554,0.03,0.034,26.7000
1952-12-31,3.060321895,0.03,0.034,26.7000
1953-01-02,3.072376967,0.03,0.034,26.6000
1953-01-05,3.086268525,0.03,0.034,26.6000
1953-01-06,3.065430968,0.03,0.034,26.6000
1953-01-07,3.052697077,0.03,0.034,26.6000
1953-01-08,3.04806641,0.03,0.034,26.6000
1953-01-09,3.019125407,0.03,0.034,26.6000
1953-01-12,2.993657404,0.03,0.034,26.6000
1953-01-13,3.012179628,0.03,0.034,26.6000
1953-01-14,3.019125407,0.03,0.034,26.6000
1953-01-15,3.024913519,0.03,0.034,26.6000
1953-01-16,3.012179628,0.03,0.034,26.6000
1953-01-19,3.011021962,0.03,0.034,26.6000
1953-01-20,3.026071186,0.03,0.034,26.6000
1953-01-21,3.020283074,0.03,0.034,26.6000
1953-01-22,3.023756074,0.03,0.034,26.6000
1953-01-23,3.017967741,0.03,0.034,26.6000
1953-01-26,3.012179628,0.03,0.034,26.6000
1953-01-27,3.015652407,0.03,0.034,26.6000
1953-01-28,3.024913519,0.03,0.034,26.6000
1953-01-29,3.033017186,0.03,0.034,26.6000
1953-01-30,3.053854522,0.03,0.034,26.6000
1953-02-02,3.08302155,0.03,0.034,26.5000
1953-02-03,3.086510526,0.03,0.034,26.5000
1953-02-04,3.072554843,0.03,0.034,26.5000
1953-02-05,3.041154721,0.03,0.034,26.5000
1953-02-06,3.08302155,0.03,0.034,26.5000
1953-02-09,2.987658415,0.03,0.034,26.5000
1953-02-10,2.979517692,0.03,0.034,26.5000
1953-02-11,2.981843454,0.03,0.034,26.5000
1953-02-13,2.993473154,0.03,0.034,26.5000
1953-02-16,2.983006446,0.03,0.034,26.5000
1953-02-17,2.965562008,0.03,0.034,26.5000
1953-02-18,2.963236024,0.03,0.034,26.5000
1953-02-19,2.973702731,0.03,0.034,26.5000
1953-02-20,2.980680462,0.03,0.034,26.5000
1953-02-24,2.994636146,0.03,0.034,26.5000
1953-02-25,3.013243576,0.03,0.034,26.5000
1953-02-26,3.017895544,0.03,0.034,26.5000
1953-02-27,3.012080584,0.03,0.034,26.5000
1953-03-02,3.029712665,0.03,0.034,26.6000
1953-03-03,3.037891568,0.03,0.034,26.6000
1953-03-04,3.012186412,0.03,0.034,26.6000
1953-03-05,3.013354858,0.03,0.034,26.6000
1953-03-06,3.019196868,0.03,0.034,26.6000
1953-03-09,3.018028422,0.03,0.034,26.6000
1953-03-10,3.027375771,0.03,0.034,26.6000
1953-03-11,3.051912704,0.03,0.034,26.6000
1953-03-12,3.053080927,0.03,0.034,26.6000
1953-03-13,3.05892316,0.03,0.034,26.6000
1953-03-16,3.063596724,0.03,0.034,26.6000
1953-03-17,3.076449413,0.03,0.034,26.6000
1953-03-18,3.065933617,0.03,0.034,26.6000
1953-03-19,3.063596724,0.03,0.034,26.6000
1953-03-20,3.05892316,0.03,0.034,26.6000
1953-03-23,3.040228461,0.03,0.034,26.6000
1953-03-24,3.057754714,0.03,0.034,26.6000
1953-03-25,3.049575811,0.03,0.034,26.6000
1953-03-26,3.032049558,0.03,0.034,26.6000
1953-03-27,3.036723121,0.03,0.034,26.6000
1953-03-30,2.992323266,0.03,0.034,26.6000
1953-03-31,2.954933866,0.03,0.034,26.6000
1953-04-01,2.964419628,0.03,0.034,26.6000
1953-04-02,2.962071519,0.03,0.034,26.6000
1953-04-06,2.889281935,0.03,0.034,26.6000
1953-04-07,2.901022031,0.03,0.034,26.6000
